"id","train_fitness","train_net_profit","test_net_profit","test_sharpe"
1,-1486.56133659341,-1102.49957705114,837.48241435242,0.800445476975014
2,635.151926911567,1024.29180962755,-1109.87021076202,-0.724752768722869
3,-1338.61553123091,-997.191625942218,0,0
4,52.6307938097256,202.653778991724,641.525041519171,0.632249353548265
5,-407.32809191493,-189.104997353545,215.838127937319,0.454043425054393
6,-2294.5578352844,-1715.50256373594,-275.132462455747,-0.306588963708962
7,-227.369196730036,42.0983859481858,0,0
8,-265.369388101,-30.2577535076107,533.781378349304,0.78747270425509
9,-737.917482994077,-308.193077243803,0,0
10,-252.324086060898,-160.490136734003,-306.555945247648,-1.04283976930561
11,-1080.60702213534,-829.34974610137,399.692009963992,0.70763413456461
12,-421.497790046502,-131.921376958848,0,0
13,-209.60493450737,-78.1264106369017,-337.120162342073,-0.668445279279021
14,-1213.26713475186,-624.016918808909,-748.289443450916,-0.33109046381328
15,-923.073655288119,-703.949986244197,45.0749298858718,0.115130254284256
16,582.392247582264,1024.86576349451,1244.73802505113,0.390713565383818
17,-94.6542888799664,-38.1249710254669,496.207220569615,1.02726858049737
18,-217.253563018224,-161.584202287671,83.4526115875233,0.254552307553189
19,-194.518513109967,-77.2898182830777,226.268432029725,0.49981773254408
20,-602.63378955057,-355.388053522091,396.458641250612,0.506170419090085
21,-770.311009631342,-591.469887512203,-139.11071798706,-0.676127889844857
22,-649.621440898892,-466.561410160062,-130.048164764405,-0.507830123247648
23,-640.250730741682,-343.945133966437,33.1667706642183,0.0504663896688909
24,390.677387311756,510.544658267032,-28.1266077651962,-0.0587490420809407
25,-874.969207771296,-422.181566372867,230.285621406554,0.402357035832476
26,707.943055148926,876.028107826271,-467.715062351217,-0.411509908281198
27,477.775507234774,626.150570283899,-294.370851417541,-0.264501446974912
28,-2446.76226975116,-1796.86710209083,203.822261047368,0.25572647228187
29,-1757.82575441441,-1207.263516118,144.915867923752,0.100116174192513
30,-741.35206439875,-503.537318393694,-264.846030754084,-0.335321693511217
31,-607.408249074542,-414.051282062521,-118.188184211727,-0.21396964018597
32,461.573998317929,569.812431869526,-264.182430332177,-0.478416049761232
33,-367.528583970259,-72.1591746368395,0,0
34,-1167.87967393034,-617.681277541142,112.646471160891,0.141082810515255
